ticker,date,filing_count,form_10k_count,form_10q_count,form_8k_count,filing_count_30d,filing_count_90d,form_8k_count_30d,form_10q_count_180d,form_10k_count_365d,days_since_last_filing,days_since_last_8k
ORCL,2020-10-13,0,0,0,0,2.0,5.0,1.0,2.0,2.0,28.0,33.0
ORCL,2020-10-14,0,0,0,0,2.0,5.0,1.0,2.0,2.0,29.0,34.0
ORCL,2020-10-15,0,0,0,0,2.0,5.0,1.0,2.0,2.0,30.0,35.0
ORCL,2020-10-16,0,0,0,0,2.0,5.0,1.0,2.0,2.0,31.0,36.0
ORCL,2020-10-19,0,0,0,0,2.0,5.0,1.0,2.0,2.0,34.0,39.0
ORCL,2020-10-20,0,0,0,0,2.0,5.0,1.0,2.0,2.0,35.0,40.0
ORCL,2020-10-21,0,0,0,0,2.0,5.0,1.0,2.0,2.0,36.0,41.0
ORCL,2020-10-22,0,0,0,0,1.0,4.0,0.0,2.0,2.0,37.0,42.0
ORCL,2020-10-23,0,0,0,0,1.0,4.0,0.0,2.0,2.0,38.0,43.0
ORCL,2020-10-26,0,0,0,0,1.0,4.0,0.0,2.0,2.0,41.0,46.0
ORCL,2020-10-27,0,0,0,0,0.0,4.0,0.0,2.0,2.0,42.0,47.0
ORCL,2020-10-28,0,0,0,0,0.0,3.0,0.0,2.0,2.0,43.0,48.0
ORCL,2020-10-29,0,0,0,0,0.0,3.0,0.0,2.0,2.0,44.0,49.0
ORCL,2020-10-30,0,0,0,0,0.0,3.0,0.0,2.0,2.0,45.0,50.0
ORCL,2020-11-02,0,0,0,0,0.0,3.0,0.0,2.0,2.0,48.0,53.0
ORCL,2020-11-03,0,0,0,0,0.0,3.0,0.0,2.0,2.0,49.0,54.0
ORCL,2020-11-04,0,0,0,0,0.0,3.0,0.0,2.0,2.0,50.0,55.0
ORCL,2020-11-05,0,0,0,0,0.0,3.0,0.0,2.0,2.0,51.0,56.0
ORCL,2020-11-06,1,0,0,1,1.0,4.0,1.0,2.0,2.0,0.0,0.0
ORCL,2020-11-09,0,0,0,0,1.0,4.0,1.0,2.0,2.0,3.0,3.0
ORCL,2020-11-10,0,0,0,0,1.0,4.0,1.0,2.0,2.0,4.0,4.0
ORCL,2020-11-11,0,0,0,0,1.0,4.0,1.0,2.0,2.0,5.0,5.0
ORCL,2020-11-12,0,0,0,0,1.0,4.0,1.0,2.0,2.0,6.0,6.0
ORCL,2020-11-13,0,0,0,0,1.0,4.0,1.0,2.0,2.0,7.0,7.0
ORCL,2020-11-16,0,0,0,0,1.0,4.0,1.0,2.0,2.0,10.0,10.0
ORCL,2020-11-17,0,0,0,0,1.0,4.0,1.0,2.0,2.0,11.0,11.0
ORCL,2020-11-18,0,0,0,0,1.0,4.0,1.0,2.0,2.0,12.0,12.0
ORCL,2020-11-19,0,0,0,0,1.0,4.0,1.0,2.0,2.0,13.0,13.0
ORCL,2020-11-20,0,0,0,0,1.0,4.0,1.0,2.0,2.0,14.0,14.0
ORCL,2020-11-23,0,0,0,0,1.0,4.0,1.0,2.0,2.0,17.0,17.0
ORCL,2020-11-24,0,0,0,0,1.0,4.0,1.0,2.0,2.0,18.0,18.0
ORCL,2020-11-25,0,0,0,0,1.0,4.0,1.0,2.0,2.0,19.0,19.0
ORCL,2020-11-27,0,0,0,0,1.0,4.0,1.0,1.0,2.0,21.0,21.0
ORCL,2020-11-30,0,0,0,0,1.0,4.0,1.0,1.0,2.0,24.0,24.0
ORCL,2020-12-01,0,0,0,0,1.0,4.0,1.0,1.0,1.0,25.0,25.0
ORCL,2020-12-02,0,0,0,0,1.0,4.0,1.0,1.0,1.0,26.0,26.0
ORCL,2020-12-03,0,0,0,0,1.0,4.0,1.0,1.0,1.0,27.0,27.0
ORCL,2020-12-04,0,0,0,0,1.0,4.0,1.0,1.0,1.0,28.0,28.0
ORCL,2020-12-07,0,0,0,0,1.0,4.0,1.0,1.0,1.0,31.0,31.0
ORCL,2020-12-08,0,0,0,0,1.0,4.0,1.0,1.0,1.0,32.0,32.0
ORCL,2020-12-09,0,0,0,0,1.0,4.0,1.0,1.0,1.0,33.0,33.0
ORCL,2020-12-10,1,0,0,1,2.0,5.0,2.0,1.0,1.0,0.0,0.0
ORCL,2020-12-11,1,0,1,0,3.0,6.0,2.0,2.0,1.0,0.0,1.0
ORCL,2020-12-14,0,0,0,0,3.0,6.0,2.0,2.0,1.0,3.0,4.0
ORCL,2020-12-15,0,0,0,0,3.0,6.0,2.0,2.0,1.0,4.0,5.0
ORCL,2020-12-16,0,0,0,0,3.0,6.0,2.0,2.0,1.0,5.0,6.0
ORCL,2020-12-17,0,0,0,0,3.0,6.0,2.0,2.0,1.0,6.0,7.0
